"No","Date.Time","p..mbar.","T..degC.","Tpot..K.","Tdew..degC.","rh....","VPmax..mbar.","VPact..mbar.","VPdef..mbar.","sh..g.kg.","H2OC..mmol.mol.","rho..g.m..3.","wv..m.s.","max..wv..m.s.","wd..deg."
"41","01.01.2009 06:50:00",998.21,-9.43,263.86,-10.57,91.3,2.98,2.72,0.26,1.7,2.73,1317.18,2.51,3.63,357
"42","01.01.2009 07:00:00",998.33,-9.17,264.12,-10.1,92.9,3.04,2.83,0.22,1.76,2.83,1315.98,2.08,2.88,348.8
"43","01.01.2009 07:10:00",998.5,-8.71,264.56,-9.63,93,3.16,2.94,0.22,1.83,2.94,1313.87,2.06,2.75,338.1
"44","01.01.2009 07:20:00",998.59,-8.55,264.72,-9.47,93,3.2,2.97,0.22,1.85,2.98,1313.17,1.95,2.38,357.9
"45","01.01.2009 07:30:00",998.79,-8.4,264.85,-9.31,93.1,3.24,3.01,0.22,1.88,3.02,1312.67,0.92,1.38,340.1
"46","01.01.2009 07:40:00",998.86,-8.3,264.95,-9.21,93.1,3.26,3.04,0.22,1.89,3.04,1312.25,0.81,1.13,321.1
"47","01.01.2009 07:50:00",999.04,-8.13,265.1,-9.03,93.2,3.3,3.08,0.22,1.92,3.08,1311.63,0.61,1.13,254.2
"48","01.01.2009 08:00:00",999.17,-8.1,265.12,-9.05,92.8,3.31,3.07,0.24,1.92,3.08,1311.65,0.72,1.25,213.9
"49","01.01.2009 08:10:00",999.27,-8.14,265.08,-9.12,92.6,3.3,3.06,0.24,1.91,3.06,1311.98,0.71,1,241.4
"50","01.01.2009 08:20:00",999.33,-8.06,265.15,-9.02,92.7,3.32,3.08,0.24,1.92,3.08,1311.66,0.53,0.88,242.5
"51","01.01.2009 08:30:00",999.44,-7.95,265.25,-8.93,92.6,3.35,3.1,0.25,1.93,3.1,1311.26,0.53,0.88,352.7
"52","01.01.2009 08:40:00",999.46,-7.74,265.46,-8.67,93,3.41,3.17,0.24,1.97,3.17,1310.21,0.38,0.75,100.2
"53","01.01.2009 08:50:00",999.59,-7.57,265.62,-8.64,92,3.45,3.18,0.28,1.98,3.18,1309.54,0.17,0.5,166.7
"54","01.01.2009 09:00:00",999.69,-7.66,265.52,-8.84,91.2,3.43,3.13,0.3,1.95,3.13,1310.14,0.34,0.63,202.2
"55","01.01.2009 09:10:00",999.79,-7.71,265.47,-8.87,91.3,3.41,3.12,0.3,1.94,3.12,1310.51,0.14,0.5,235
"56","01.01.2009 09:20:00",999.81,-7.56,265.61,-8.67,91.7,3.45,3.17,0.29,1.97,3.17,1309.78,0.11,0.38,310.5
"57","01.01.2009 09:30:00",999.83,-7.29,265.88,-8.33,92.2,3.53,3.25,0.28,2.03,3.25,1308.43,0.75,2.5,17.3
"58","01.01.2009 09:40:00",999.96,-7.15,266.01,-8.21,92.1,3.57,3.28,0.28,2.05,3.28,1307.9,1.62,2.75,4.63
"59","01.01.2009 09:50:00",1000.13,-7.02,266.13,-8.06,92.2,3.6,3.32,0.28,2.07,3.32,1307.46,1.24,3.13,314.3
"60","01.01.2009 10:00:00",1000.27,-7.04,266.1,-8.17,91.6,3.6,3.3,0.3,2.05,3.29,1307.76,1.45,3,292.6
"61","01.01.2009 10:10:00",1000.43,-7.03,266.1,-8.16,91.6,3.6,3.3,0.3,2.05,3.3,1307.91,1.12,2.75,266.3
"62","01.01.2009 10:20:00",1000.54,-7.15,265.97,-8.34,91.1,3.57,3.25,0.32,2.02,3.25,1308.67,2.12,3.25,267.2
"63","01.01.2009 10:30:00",1000.68,-7.26,265.85,-8.47,91,3.54,3.22,0.32,2,3.22,1309.41,1.54,3.25,258.8
"64","01.01.2009 10:40:00",1000.78,-7.34,265.76,-8.57,90.8,3.51,3.19,0.32,1.99,3.19,1309.96,1.81,3,257
"65","01.01.2009 10:50:00",1000.83,-7.35,265.75,-8.57,90.9,3.51,3.19,0.32,1.99,3.19,1310.07,1.77,3.25,260.5
"66","01.01.2009 11:00:00",1000.87,-7.41,265.68,-8.66,90.7,3.5,3.17,0.33,1.97,3.17,1310.43,1.91,3.38,269.6
"67","01.01.2009 11:10:00",1000.81,-7.48,265.62,-8.76,90.5,3.48,3.15,0.33,1.96,3.14,1310.71,1.73,3.25,247.1
"68","01.01.2009 11:20:00",1000.74,-7.38,265.72,-8.64,90.6,3.5,3.17,0.33,1.98,3.17,1310.1,1.25,2.13,230.6
"69","01.01.2009 11:30:00",1000.61,-7.21,265.9,-8.53,90.2,3.55,3.2,0.35,1.99,3.2,1309.08,1.41,2.25,208.2
"70","01.01.2009 11:40:00",1000.5,-7.16,265.96,-8.54,89.8,3.56,3.2,0.36,1.99,3.2,1308.69,1.28,1.88,198.9
"71","01.01.2009 11:50:00",1000.36,-7.03,266.1,-8.44,89.6,3.6,3.23,0.37,2.01,3.22,1307.86,1.75,3,207.5
"72","01.01.2009 12:00:00",1000.3,-6.87,266.27,-8.28,89.6,3.64,3.27,0.38,2.03,3.26,1306.98,1.84,2.63,184.4
"73","01.01.2009 12:10:00",1000.21,-6.77,266.38,-8.19,89.5,3.67,3.29,0.39,2.05,3.29,1306.33,2.15,2.88,202.8
"74","01.01.2009 12:20:00",1000.18,-6.7,266.44,-8.09,89.8,3.69,3.32,0.38,2.06,3.32,1305.97,1.89,3.13,222.7
"75","01.01.2009 12:30:00",1000.14,-6.61,266.54,-8,89.7,3.72,3.34,0.38,2.08,3.34,1305.44,2.25,3.38,237.6
"76","01.01.2009 12:40:00",1000.02,-6.51,266.65,-7.93,89.5,3.75,3.36,0.39,2.09,3.36,1304.79,1.28,2.63,197.9
"77","01.01.2009 12:50:00",1000.02,-6.21,266.95,-7.65,89.4,3.84,3.43,0.41,2.14,3.43,1303.28,0.33,1,202.6
"78","01.01.2009 13:00:00",1000.03,-5.89,267.27,-7.46,88.6,3.93,3.48,0.45,2.17,3.48,1301.73,0.57,1.25,187.3
"79","01.01.2009 13:10:00",999.97,-5.83,267.33,-7.52,87.8,3.95,3.47,0.48,2.16,3.47,1301.38,0.86,1.38,160.9
"80","01.01.2009 13:20:00",999.97,-5.76,267.41,-7.46,87.7,3.97,3.48,0.49,2.17,3.48,1301,0.91,1.63,180.1
"81","01.01.2009 13:30:00",1000.02,-5.9,267.26,-7.62,87.5,3.93,3.44,0.49,2.14,3.44,1301.76,1.45,2,138.1
"82","01.01.2009 13:40:00",999.89,-5.97,267.2,-7.55,88.5,3.91,3.46,0.45,2.15,3.46,1301.94,1.22,1.88,161.4
"83","01.01.2009 13:50:00",999.81,-5.88,267.3,-7.44,88.6,3.94,3.49,0.45,2.17,3.49,1301.37,1.43,2,146
"84","01.01.2009 14:00:00",999.81,-5.94,267.24,-7.43,89.1,3.92,3.49,0.43,2.17,3.49,1301.67,1.25,2,144
"85","01.01.2009 14:10:00",999.81,-5.84,267.34,-7.26,89.6,3.95,3.54,0.41,2.2,3.54,1301.17,1.01,2.13,151
"86","01.01.2009 14:20:00",999.8,-5.76,267.41,-7.16,89.8,3.97,3.56,0.4,2.22,3.56,1300.77,1.19,1.88,157
"87","01.01.2009 14:30:00",999.81,-5.75,267.43,-7.14,89.8,3.97,3.57,0.41,2.22,3.57,1300.69,1.25,2,145.1
"88","01.01.2009 14:40:00",999.82,-5.76,267.41,-7.1,90.2,3.97,3.58,0.39,2.23,3.58,1300.77,1.35,2.25,137.7
"89","01.01.2009 14:50:00",999.83,-5.73,267.45,-7.05,90.3,3.98,3.59,0.39,2.24,3.59,1300.61,1.74,2.38,142.4
"90","01.01.2009 15:00:00",999.88,-5.69,267.48,-7,90.4,3.99,3.61,0.38,2.25,3.61,1300.51,1.17,1.88,134.9
"91","01.01.2009 15:10:00",999.98,-5.53,267.63,-6.87,90.2,4.04,3.64,0.4,2.27,3.64,1299.83,1.33,1.75,148.6
"92","01.01.2009 15:20:00",1000.06,-5.57,267.59,-6.97,89.8,4.03,3.62,0.41,2.25,3.62,1300.14,1.24,2,146.1
"93","01.01.2009 15:30:00",1000.04,-5.43,267.73,-6.8,90,4.07,3.66,0.41,2.28,3.66,1299.4,0.9,1.25,155.1
"94","01.01.2009 15:40:00",1000,-5.32,267.84,-6.76,89.5,4.11,3.68,0.43,2.29,3.68,1298.82,0.98,1.5,137.5
"95","01.01.2009 15:50:00",999.95,-5.36,267.81,-6.84,89.2,4.09,3.65,0.44,2.28,3.65,1298.95,1.48,2.25,151.9
"96","01.01.2009 16:00:00",999.94,-5.4,267.76,-6.86,89.4,4.08,3.65,0.43,2.27,3.65,1299.17,1.4,2.13,145.5
"97","01.01.2009 16:10:00",1000.05,-5.31,267.85,-6.69,89.9,4.11,3.69,0.42,2.3,3.69,1298.81,1.03,1.5,127
"98","01.01.2009 16:20:00",1000.05,-5.28,267.88,-6.68,89.8,4.12,3.7,0.42,2.3,3.7,1298.69,1.11,1.88,134.7
"99","01.01.2009 16:30:00",1000.1,-5.32,267.83,-6.77,89.5,4.11,3.67,0.43,2.29,3.67,1298.96,1.35,2.13,132.3
"100","01.01.2009 16:40:00",1000.17,-5.29,267.86,-6.7,89.7,4.12,3.69,0.42,2.3,3.69,1298.87,1.03,1.75,140.8
